"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E745_00946",51.4400472364221,1.24540180047967,0.30515831989799,4.08116613335659,4.48103102750075e-05,0.000139887924113782
"E745_00947",50.2903537431882,0.863090617020532,0.292268179548163,2.95307760959418,0.00314622852128436,0.00735131046252771
"E745_00948",866.431909348979,-0.556783646818269,0.0893899260851681,-6.22870687114991,4.70300785764273e-10,2.42988739311541e-09
"E745_00949",60.7337147614781,-0.995362214486643,0.290231848673183,-3.429541654498,0.000604601622015258,0.00160225439790525
"E745_00950",125.774893710273,-0.631453019695669,0.206648499213404,-3.05568645356371,0.00224545939336399,0.00540776399521987
"E745_00951",10.9994942203053,7.0558744830972,1.31481134505874,5.36645390961543,8.02997079550111e-08,3.44178491009742e-07
"E745_00952",439.507711534701,-0.985602235788894,0.105675606247243,-9.32667690103371,1.09242259019211e-20,9.8391845454465e-20
"E745_00955",8.5983076384782,-1.924947510395,0.766994183552758,-2.50972895449942,0.0120823861806867,0.0255040709087179
"E745_00957",353.180069496913,-0.306696808589928,0.119711343805798,-2.56196947456764,0.0104080465906561,0.0223592685017641
"E745_00958",92.0005581474343,-0.935622895486965,0.247047169054285,-3.78722370739401,0.000152339933776468,0.000440497031939331
"E745_00960",85.1775700290488,-0.62151009960694,0.262781766956808,-2.36511880867706,0.0180242876561331,0.0367656854561981
"E745_00963",106.771858602278,-1.09290750447139,0.218177409129823,-5.00926062340889,5.46395397264682e-07,2.17092418644954e-06
"E745_00966",43.2754012363782,0.736452535652794,0.326105469330362,2.25832623158714,0.0239253280476011,0.0474943593260645
"E745_00967",95.5086438507768,0.73457121847299,0.219255507932407,3.35029767507344,0.000807247581015099,0.00209146943730443
"E745_00969",27.5248594420882,1.60828075714352,0.426497766435185,3.77090077302416,0.00016265934587672,0.000468810612007931
"E745_00977",129.326328281667,0.626273679257399,0.187743632562365,3.33579184928874,0.000850568227563988,0.00219305115540193
"E745_00979",8.20092036096895,1.85509760722087,0.74788512340181,2.48045795961661,0.0131213735858823,0.0275228811801434
"E745_00988",70.1414236341051,-1.83232494930752,0.281808101780081,-6.50203077105794,7.92428854372488e-11,4.25073506188542e-10
"E745_00989",212.405914000526,1.54779431291301,0.161559900256077,9.58031238234063,9.67518574069587e-22,9.11450359883222e-21
"E745_00990",358.462791060353,1.60992240953474,0.125738729670582,12.8037114240975,1.56298780862462e-37,2.11519060801688e-36
"E745_00991",440.554419931539,1.65990477765379,0.117390625961138,14.1400113004193,2.15249821768269e-45,3.49912210264759e-44
"E745_00992",60.666630980825,0.875548321476352,0.270441154312873,3.23748182372951,0.00120589621173885,0.00303294273631677
"E745_01013",19.1951707552042,1.27003714504389,0.498860612368882,2.54587576881047,0.0109003973528113,0.023323001077524
"E745_01029",38.5840893762749,-0.811027169417932,0.348632210359455,-2.32631164108941,0.0200019314529477,0.0401847394525687
"E745_01034",90.9675277943293,0.695821564738323,0.227226593418514,3.06223648504351,0.00219689813372711,0.00529559712885757
"E745_01035",140.686723912549,1.23950864357209,0.183702526011353,6.74736853371022,1.50550539875834e-11,8.52160805326905e-11
"E745_01042",181.535096465848,0.562565720995226,0.169175232325491,3.32534327432077,0.000883097334820575,0.00226378605253044
"E745_01045",491.696965416779,0.461544010212915,0.105157976729187,4.38905373200102,1.13844940992205e-05,3.84677582617514e-05
"E745_01046",224.503324740181,0.534018029220736,0.139363524998945,3.83183497421423,0.00012719104749419,0.000372218806388045
"E745_01048",6.3152653213434,-2.97429311727931,1.01699374107926,-2.9245933353758,0.00344906629416789,0.00798888856668253
"E745_01049",4.39634586474729,-3.50607220797251,1.40498870705046,-2.4954451166607,0.0125799214306456,0.0264495824401429
"E745_01051",117.836909211173,1.48601036786578,0.212447406919841,6.99472113786011,2.65787050025086e-12,1.59952206629092e-11
"E745_01053",59.2071729550299,-0.923530677423494,0.281497671377969,-3.28077554923523,0.00103522089665019,0.00262597422499467
"E745_01057",627.439931719248,-1.30019625445494,0.106237766177991,-12.2385503877838,1.93456934185564e-34,2.50367080844036e-33
"E745_01062",48.9475336250494,1.85384757459436,0.325837769110791,5.68948031915852,1.27426574425202e-08,5.81711040098612e-08
"E745_01063",170.130137857959,-1.65629508220364,0.17121429556372,-9.67381302332444,3.89586083117497e-22,3.69621529391903e-21
"E745_01064",3676.74914883071,-1.3594797963244,0.0809948681165256,-16.7847646145747,3.15477682546964e-63,7.00886251391839e-62
"E745_01065",1612.80186422744,-0.75790871346767,0.0777175020761299,-9.75209821753205,1.80694322425335e-22,1.73284555246742e-21
"E745_01066",1200.10905715345,-1.4573953484536,0.0885368474348517,-16.4608904730429,7.00621296406956e-61,1.50633578727496e-59
"E745_01067",2684.02212438353,-0.908609266835191,0.0569423506168024,-15.9566518942947,2.56106619724055e-57,5.17257763776008e-56
"E745_01071",55.1866211124725,0.753888593554926,0.308006289569086,2.44764025633908,0.0143795146803407,0.0299498329201471
"E745_01073",229.293642721232,-0.769809616912047,0.15299982780315,-5.0314410673879,4.86806755036036e-07,1.9486889022914e-06
"E745_01075",51.1118466435401,1.83495711633993,0.329263924235028,5.57290666022113,2.50523813116832e-08,1.12630098780687e-07
"E745_01078",351.861355234478,0.275189414782959,0.116311180753819,2.36597559236732,0.0179826299033611,0.0367204818759517
"E745_01085",342.101047942144,-0.296325858650341,0.123410677305042,-2.40113631268625,0.0163442468176382,0.0336736955300027
"E745_01086",537.591847992929,-0.250399183776113,0.102385206168487,-2.44565785572627,0.0144588138360758,0.0300211819992042
"E745_01094",17.1812592089192,-1.85003045813658,0.558490576857935,-3.31255447235089,0.000924481209613417,0.00235627811169156
"E745_01097",153.443181017382,2.45393211239309,0.204639887959147,11.9914652850229,3.93875358570901e-33,5.00034145690487e-32
"E745_01098",35.2610213555489,1.39506359306844,0.378343526740423,3.68729341053476,0.000226651967560723,0.000639422376208347
"E745_01104",968.860822557877,2.43497193911693,0.0880247290274353,27.6623622250289,1.98176332455319e-168,1.42794081709697e-166
"E745_01105",613.404020465866,0.683749646012034,0.102836104898094,6.64892594570362,2.95239486666767e-11,1.6262571724248e-10
"E745_01107",129.617131575602,0.628097532193248,0.189762749930135,3.30990951819835,0.000933261345629328,0.00237638466804946
"E745_01108",151.014713037134,1.10572129309621,0.186764474044821,5.92040482405046,3.21150107626189e-09,1.56238355279456e-08
"E745_01109",45.5832019161813,1.01257817361577,0.311504851045789,3.25060162054081,0.00115161103622195,0.00291013746214951
"E745_01110",39.6120782568823,1.09717383970847,0.341033051549232,3.2172067625829,0.00129445275151938,0.00324343142438973
"E745_01111",71.661185020711,1.28204132950533,0.263572346197836,4.86409651087993,1.14980803334765e-06,4.42975175853301e-06
"E745_01112",56.2254597163377,1.43783997432426,0.329901547168948,4.35839112202746,1.31022076420324e-05,4.38825195648976e-05
"E745_01113",101.537019883026,1.00992735366655,0.206118507152561,4.89974125864903,9.59629473579922e-07,3.73484989279427e-06
"E745_01114",88.2534634062558,1.18728998533,0.228932638103716,5.18619798017664,2.14630641909224e-07,8.81672251664086e-07
"E745_01115",146.413044041929,0.704736066083142,0.175164315026785,4.02328559886971,5.73918303894071e-05,0.000176478223550357
"E745_01118",288.774238538359,0.369948757898008,0.13349703054181,2.7712133850209,0.00558478148266206,0.0125328513743915
"E745_01124",185.63056564782,0.738057946308798,0.15600937069892,4.73085650562084,2.23574520467641e-06,8.24411717243056e-06
"E745_01125",253.269242029061,0.8560883666432,0.149175793070085,5.73878877413439,9.53560601074254e-09,4.46782524158868e-08
"E745_01126",46.2241578174678,1.63835535417511,0.339153729856679,4.83071601443821,1.36042927854308e-06,5.13725843710462e-06
"E745_01127",400.009225580303,1.67987718496113,0.124656501787511,13.4760494709265,2.16386532398712e-41,3.29649425928552e-40
"E745_01130",457.493900152468,1.20193325991647,0.104450403467939,11.5072150993213,1.21333541272625e-30,1.41875096944218e-29
"E745_01131",79.4550068253484,-2.67905866007314,0.28969481817693,-9.2478653119605,2.29020689968985e-20,2.04888979683662e-19
"E745_01132",38.616227578546,1.4974047901695,0.366330669517626,4.08757692098573,4.3590216728828e-05,0.000136238590620229
"E745_01134",105.339140571532,-0.661729079142571,0.224323460256091,-2.94988798045077,0.00317889163775323,0.00742112531195281
"E745_01136",79.5010694081573,1.53910325622898,0.267040377611326,5.76356006532138,8.23579235746502e-09,3.88612786283217e-08
"E745_01137",59.5632979693816,2.26759791567367,0.319476337355839,7.09785874735374,1.26704583029487e-12,7.71220133234274e-12
"E745_01140",3.5463813697291,3.40796368113991,1.4144462077476,2.40939787068102,0.0159788675757892,0.0329974135995771
"E745_01141",19.1036067680654,1.75020322341557,0.498348541021982,3.5120063155525,0.000444737430326535,0.00120250506009183
"E745_01142",26.3744944965473,2.06255723359276,0.423302851518824,4.87253328483906,1.10176286574922e-06,4.25695623201077e-06
"E745_01144",341.174480303796,-0.663089485238464,0.123108911268792,-5.38620217175586,7.19620154769869e-08,3.09436666551044e-07
"E745_01147",15.4012213748175,-1.82619453584509,0.562176031130256,-3.24843898480254,0.00116040092815641,0.00292680120573794
"E745_01152",305.103986226226,0.343267108073715,0.143289727628494,2.39561560870364,0.0165924807859609,0.0341323717402561
"E745_01153",62.3340024810876,0.74504978014396,0.267513902798838,2.78508807336348,0.00535131856056763,0.0120801145490883
"E745_01156",23.4423139626622,-0.990702319268029,0.429577008721512,-2.30622751952325,0.0210979226497469,0.0422592500257139
"E745_01157",57.2171291665891,-3.3902819423933,0.381712046937503,-8.8817787376472,6.57996174553469e-19,5.43101486489024e-18
"E745_01158",245.310900963789,-2.09628406810849,0.151266861266499,-13.8581844731695,1.13509041771374e-43,1.76967897872798e-42
"E745_01159",24.9881429906094,-1.41698745190416,0.423575161076207,-3.34530345996664,0.000821925884922043,0.00212536800116602
"E745_01160",65.7166548562461,-1.52384071889249,0.274709328069486,-5.54710220290388,2.90442983770415e-08,1.29702009167827e-07
"E745_01161",70.3298493693917,-0.968317660997379,0.247803554601502,-3.90760198155572,9.3216700077426e-05,0.000278293082202035
"E745_01163",33.3094213882343,-1.61563296126848,0.390118740788867,-4.14138771698451,3.45210855230165e-05,0.000110484050425404
"E745_01164",55.0587552901,-1.47350551795074,0.317877978965368,-4.6354438352311,3.56172425798726e-06,1.27532171676182e-05
"E745_01165",31.6315104822149,-1.07404614430306,0.366935463565282,-2.92707097282783,0.00342170787180337,0.00793931521864908
"E745_01166",22.01374077597,-1.39596166248662,0.449836649549373,-3.10326351551176,0.0019139913312899,0.00468567574767574
"E745_01167",65.3930318109716,-0.969142429785424,0.304135048121479,-3.18655293354525,0.00143979138502034,0.00358067521685096
"E745_01168",47.9777207213909,-1.13541176515343,0.300863658723736,-3.77384151336141,0.000160752905096406,0.000463817364704564
"E745_01169",30.1901253282305,-1.0813335562428,0.39553082944153,-2.73387932305957,0.00625929801910377,0.013940926080978
"E745_01170",10.45780827146,-1.55752553742081,0.694229241544116,-2.24353202690878,0.0248625269801422,0.049177829434911
"E745_01171",24.4726725438186,-1.37377850306707,0.434238465619773,-3.16364995695699,0.00155804063496469,0.00385094266671142
"E745_01172",17.5618653811151,-1.19611239643235,0.5115987818795,-2.33798914070533,0.0193878114799174,0.039161207783701
"E745_01173",28.6329723263111,-1.50422876506001,0.414323594203117,-3.63056506099572,0.000282801404070664,0.000780485034422763
